date,new,order,category,color id,style pattern,style color,takeon at,takeoff at,shower
1,1,1,underwear,1,,,16,452,
1,1,2,socks,2,,,16,452,
1,1,3,bra,3,,,16,452,
1,1,4,undershirt,3,,,16,452,
1,1,5,longsleeve,3,stripes,6,16,452,
1,1,6,pants,2,,,16,452,
1,1,7,shoes,4,,,16,452,
1,1,8,scarf,5,,,34,78,
1,0,8,scarf,5,,,154,204,
1,0,8,scarf,5,,,390,435,
1,0,8,scarf,5,,,470,494,
1,0,8,scarf,5,,,583,615,
1,1,9,jacket,5,,,34,435,
1,0,9,jacket,5,,,470,494,
1,0,9,jacket,5,,,583,615,
1,1,10,berret,6,,,34,78,
1,0,10,berret,6,,,180,203,
1,0,10,berret,6,,,390,435,
1,0,10,berret,6,,,470,494,
1,0,10,berret,6,,,583,615,
1,1,1,underwear,7,,,470,668,
1,1,2,socks,8,,,470,668,
1,1,3,bra,5,,,470,668,
1,1,4,undershirt,5,,,470,668,
1,1,5,turtleneck,3,,,470,668,
1,1,6,pants,3,,,470,668,
1,1,7,shoes,4,,,470,668,
2,1,1,underwear,3,,,16,668,
2,1,2,socks,7,,,16,668,
2,1,3,bra,3,,,16,668,
2,1,4,undershirt,9,,,16,668,
2,1,5,longsleeve,9,stripes,3,16,668,
2,1,6,pants,10,,,16,668,
2,1,7,shoes,4,,,16,668,
2,1,8,scarf,9,,,16,75,
2,0,8,scarf,9,,,206,236,
2,0,8,scarf,9,,,268,296,
2,0,8,scarf,9,,,390,408,
2,0,8,scarf,9,,,418,430,
2,0,8,scarf,9,,,628,668,
2,1,9,jacket,3,,,16,76,
2,0,9,jacket,3,,,206,237,
2,0,9,jacket,3,,,268,296,
2,0,9,jacket,3,,,389,448,
2,0,9,jacket,3,,,628,668,
3,1,1,underwear,11,,,16,668,
3,1,2,socks,2,,,16,668,
3,1,3,bra,3,,,16,668,
3,1,4,undershirt,3,,,16,668,
3,1,5,turtleneck,5,stripes,3,16,668,
3,1,6,pants,3,,,16,668,
3,1,7,shoes,4,,,16,668,
3,1,8,scarf,5,,,16,68,
3,0,8,scarf,5,,,215,238,
3,0,8,scarf,5,,,285,300,
3,0,8,scarf,5,,,412,468,
3,0,8,scarf,5,,,596,668,
3,1,9,jacket,5,,,16,69,
3,0,9,jacket,5,,,215,239,
3,0,9,jacket,5,,,288,302,
3,0,9,jacket,5,,,412,466,
3,0,9,jacket,5,,,596,668,
4,1,1,underwear,6,,,16,420,
4,1,2,socks,12,,,16,420,
4,1,3,bra,3,,,16,420,
4,1,4,undershirt,4,,,16,420,
4,1,5,sweater,4,,,16,420,
4,1,6,pants,8,,,16,420,
4,0,6,pants,8,,,450,668,
4,1,7,shoes,4,,,16,420,
4,0,7,shoes,4,,,450,668,
4,1,8,scarf,5,,,36,90,
4,0,8,scarf,5,,,187,218,
4,0,8,scarf,5,,,237,247,
4,0,8,scarf,5,,,366,402,
4,0,8,scarf,5,,,450,488,
4,0,8,scarf,5,,,588,620,
4,1,9,jacket,5,,,36,90,
4,0,9,jacket,5,,,187,219,
4,0,9,jacket,5,,,237,247,
4,0,9,jacket,5,,,364,402,
4,0,9,jacket,6,,,450,488,
4,0,9,jacket,6,,,588,620,
4,1,1,underwear,5,,,450,668,
4,1,2,socks,2,,,450,668,
4,1,3,bra,3,,,450,668,
4,1,4,undershirt,9,,,450,668,
4,1,5,sweater,8,pattern,9,450,668,
4,0,10,berret,10,,,450,488,
4,0,10,berret,10,,,592,620,
5,1,1,underwear,1,,,16,466,
5,1,2,socks,12,,,16,466,
5,1,3,bra,3,,,16,466,
5,0,3,bra,3,,,488,668,
5,1,4,undershirt,3,,,16,466,
5,0,4,undershirt,3,,,488,668,
5,1,5,turtleneck,3,,,16,466,
5,0,5,turtleneck,3,,,488,668,
5,1,6,pants,5,stripes,12,16,466,
5,0,6,pants,5,stripes,12,488,668,
5,1,7,shoes,4,,,16,466,
5,0,7,shoes,4,,,488,668,
5,1,8,scarf,13,,,16,66,
5,0,8,scarf,13,,,115,136,
5,0,8,scarf,13,,,196,252,
5,0,8,scarf,13,,,284,300,
5,0,8,scarf,13,,,428,466,
5,0,8,scarf,13,,,488,510,
5,0,8,scarf,13,,,636,668,
5,1,9,jacket,5,,,16,66,
5,0,9,jacket,5,,,115,136,
5,0,9,jacket,5,,,196,256,
5,0,9,jacket,5,,,428,466,
5,0,9,jacket,5,,,488,510,
5,0,9,jacket,5,,,636,668,
5,1,10,berret,2,,,16,66,
5,0,10,berret,2,,,116,136,
5,0,10,berret,2,,,195,256,
5,0,10,berret,2,,,428,466,
5,0,10,berret,2,,,488,510,
5,0,10,berret,2,,,636,668,
5,1,1,underwear,12,,,488,668,
5,1,2,socks,4,,,488,668,
6,1,1,underwear,13,,,16,404,
6,1,2,socks,8,,,16,404,
6,1,3,bra,3,,,16,404,
6,0,3,bra,3,,,426,668,
6,1,4,undershirt,3,,,16,404,
6,1,5,longsleeve,3,,,16,404,
6,1,6,pants,8,,,16,404,
6,0,6,pants,8,,,426,668,
6,1,7,shoes,4,,,16,404,
6,0,7,shoes,4,,,426,668,
6,1,8,scarf,5,,,52,118,
6,0,8,scarf,5,,,208,252,
6,0,8,scarf,5,,,296,404,
6,0,8,scarf,5,,,426,472,
6,0,8,scarf,5,,,492,668,
6,1,9,jacket,3,pattern,8,52,126,
6,0,9,jacket,3,pattern,8,208,252,
6,0,9,jacket,3,pattern,8,360,404,
6,0,9,jacket,3,pattern,8,426,472,
6,0,9,jacket,3,pattern,8,614,668,
6,1,10,berret,10,,,52,126,
6,0,10,berret,10,,,360,404,
6,0,10,berret,10,,,426,470,
6,0,10,berret,10,,,614,668,
6,1,1,underwear,4,,,426,668,
6,1,2,socks,2,,,426,668,
6,1,4,undershirt,3,,,426,668,
6,1,5,sweater,2,,,426,668,
7,1,1,underwear,3,,,16,668,
7,1,2,socks,3,,,16,668,
7,1,3,bra,3,,,16,668,
7,1,4,undershirt,3,,,16,668,
7,1,5,sweater,3,,,16,668,
7,1,6,pants,3,,,16,668,
7,1,7,shoes,4,,,16,668,
7,1,8,scarf,7,pattern,2,94,155,
7,0,8,scarf,7,pattern,2,284,368,
7,0,8,scarf,7,pattern,2,475,668,
7,1,9,jacket,3,,,94,155,
7,0,9,jacket,3,,,284,366,
7,0,9,jacket,3,,,570,668,
7,1,10,berret,8,,,94,132,
7,0,10,berret,8,,,570,668,
1,,,,,,,0,16,1
2,,,,,,,0,16,1
3,,,,,,,0,16,1
4,,,,,,,0,16,1
5,,,,,,,0,16,1
6,,,,,,,0,16,1
7,,,,,,,0,16,1
1,,,,,,,452,470,1
2,,,,,,,668,690,1
3,,,,,,,668,690,1
7,,,,,,,668,690,1
4,,,,,,,420,450,1
5,,,,,,,466,488,1
6,,,,,,,404,426,1
